hb_ratio_mol,hv_ratio_mol,mw_phbv,mn_phbv,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,tg1,tc1,tm1,tm2,td5,dhm1,crystallinity,tm_mean,tm_max,tc_mean,tc_max
36.0,64.0,3526400.0,1102000.0,3.2,no_additive,0.0,no_additive,0.0,-13.0,,77.7,,,21.8,,77.7,77.7,,
84.0,16.0,2608640.0,1019000.0,2.56,no_additive,0.0,no_additive,0.0,3.0,58.9,171.1,,,61.4,,171.1,171.1,58.9,58.9
12.0,88.0,4252800.0,1329000.0,3.2,no_additive,0.0,no_additive,0.0,-14.0,52.4,99.7,,,43.7,,99.7,99.7,52.4,52.4
57.0,43.0,3909760.0,1312000.0,2.98,no_additive,0.0,no_additive,0.0,2.0,,148.3,157.7,,4.5,,153.0,157.7,,
8.0,92.0,5240400.0,1985000.0,2.64,no_additive,0.0,no_additive,0.0,-15.0,50.7,102.9,,,49.8,,102.9,102.9,50.7,50.7
44.0,56.0,3452680.0,1121000.0,3.08,no_additive,0.0,no_additive,0.0,-1.0,,99.5,,,0.5,,99.5,99.5,,
5.0,95.0,4849680.0,2004000.0,2.42,no_additive,0.0,no_additive,0.0,-15.0,44.9,104.8,,,54.5,,104.8,104.8,44.9,44.9
35.0,65.0,2774440.0,998000.0,2.78,no_additive,0.0,no_additive,0.0,-4.0,,99.2,,,0.9,,99.2,99.2,,
100.0,0.0,3619980.0,1183000.0,3.06,no_additive,0.0,no_additive,0.0,3.0,47.1,176.6,,,83.1,,176.6,176.6,47.1,47.1
100.0,0.0,2964960.0,1044000.0,2.84,no_additive,0.0,no_additive,0.0,3.0,52.2,176.0,,,84.2,,176.0,176.0,52.2,52.2
27.0,73.0,3324590.0,1069000.0,3.11,no_additive,0.0,no_additive,0.0,-11.0,,80.8,,,48.5,,80.8,80.8,,
88.0,12.0,2542000.0,1025000.0,2.48,no_additive,0.0,no_additive,0.0,3.0,57.7,168.7,,,67.9,,168.7,168.7,57.7,57.7
12.0,88.0,3857189.9999999995,1273000.0,3.03,no_additive,0.0,no_additive,0.0,-14.0,49.1,100.0,,,47.3,,100.0,100.0,49.1,49.1
62.0,38.0,3733880.0,1292000.0,2.89,no_additive,0.0,no_additive,0.0,1.0,62.4,151.2,163.4,,2.4,,157.3,163.4,62.4,62.4
8.0,92.0,4997200.0,2015000.0,2.48,no_additive,0.0,no_additive,0.0,-15.0,42.1,101.8,,,48.7,,101.8,101.8,42.1,42.1
37.0,63.0,3286080.0,1141000.0,2.88,no_additive,0.0,no_additive,0.0,-1.0,,102.1,,,2.8,,102.1,102.1,,
6.0,94.0,4853310.0,2101000.0,2.31,no_additive,0.0,no_additive,0.0,-15.0,43.1,103.1,,,47.5,,103.1,103.1,43.1,43.1
24.0,76.0,2930370.0,1007000.0,2.91,no_additive,0.0,no_additive,0.0,-3.0,,103.4,,,1.2,,103.4,103.4,,
68.0,32.0,550000.0,392857.1428571429,1.4,no_additive,0.0,no_additive,0.0,-6.6,,99.0,,,,9.0,99.0,99.0,,
65.0,35.0,290000.0,51785.71428571429,5.6,no_additive,0.0,no_additive,0.0,-9.7,,105.0,,,,34.0,105.0,105.0,,
70.0,30.0,250000.0,86206.89655172414,2.9,no_additive,0.0,no_additive,0.0,-3.9,,106.0,,,,28.0,106.0,106.0,,
71.0,29.0,410000.0,292857.1428571429,1.4,no_additive,0.0,no_additive,0.0,-3.7,,112.0,,,,5.0,112.0,112.0,,
13.1,86.9,3580000.0,1460000.0,2.45,no_additive,0.0,no_additive,0.0,-9.9,,102.3,,226.9,,,102.3,102.3,,
0.5,99.5,1690000.0,780000.0,2.17,no_additive,0.0,no_additive,0.0,-17.8,56.0,108.0,,253.6,,,108.0,108.0,56.0,56.0
79.4,20.599999999999994,3400000.0,1370000.0,2.48,no_additive,0.0,no_additive,0.0,-0.5,64.7,128.4,165.8,245.0,,,147.10000000000002,165.8,64.7,64.7
28.5,71.5,3070000.0,1260000.0,2.44,no_additive,0.0,no_additive,0.0,-9.6,,73.7,101.3,232.6,,,87.5,101.3,,
55.6,44.4,2710000.0,1540000.0,1.76,no_additive,0.0,no_additive,0.0,-5.5,,84.3,134.3,267.4,,,109.30000000000001,134.3,,
97.5,2.5,1120000.0,1051000.0,1.07,no_additive,0.0,no_additive,0.0,2.2,,177.8,,,,66.4,177.8,177.8,,
97.4,2.5999999999999943,1732000.0,1451000.0,1.2,no_additive,0.0,no_additive,0.0,3.4,,175.9,,,,67.8,175.9,175.9,,
72.6,27.4,125330.0,61470.0,2.0388807548397594,no_additive,0.0,no_additive,0.0,-7.18,79.39,131.77,142.64,,,29.34,137.20499999999998,142.64,79.39,79.39
70.8,29.2,337979.0,105252.0,3.211140880933379,no_additive,0.0,no_additive,0.0,-3.12,70.74,135.67,150.01,,,28.34,142.83999999999997,150.01,70.74,70.74
77.5,22.5,80509.0,35575.0,2.2630780042164442,no_additive,0.0,no_additive,0.0,-3.25,78.56,131.52,148.33,,,32.16,139.925,148.33,78.56,78.56
79.7,20.3,250588.0,76752.0,3.2649051490514904,no_additive,0.0,no_additive,0.0,-6.87,62.4,134.73,153.98,,,24.0,144.355,153.98,62.4,62.4
86.2,13.8,170849.0,54624.0,3.1277277387229057,no_additive,0.0,no_additive,0.0,-4.86,68.67,137.89,154.92,,,31.51,146.40499999999997,154.92,68.67,68.67
64.93506493506493,35.064935064935064,115908.0,50442.0,2.297847032235042,no_additive,0.0,no_additive,0.0,-7.39,81.49,130.21,139.94,,,8.73,135.075,139.94,81.49,81.49
72.6027397260274,27.397260273972602,176394.0,66464.0,2.653978093403948,no_additive,0.0,no_additive,0.0,-6.25,74.76,131.4,144.21,,,28.59,137.805,144.21,74.76,74.76
75.11520737327189,24.884792626728114,345465.0,140753.0,2.4544059451663554,no_additive,0.0,no_additive,0.0,-4.35,70.65,135.92,149.71,,,23.16,142.815,149.71,70.65,70.65
74.5995423340961,25.400457665903893,365390.0,145918.0,2.5040776326429914,no_additive,0.0,no_additive,0.0,-1.7,69.9,140.09,153.42,,,16.35,146.755,153.42,69.9,69.9
79.71698113207547,20.283018867924525,232746.0,73183.0,3.180328764877089,no_additive,0.0,no_additive,0.0,-6.51,62.47,135.32,154.44,,,25.24,144.88,154.44,62.47,62.47
79.76190476190476,20.238095238095237,268430.0,80321.0,3.341965363977042,no_additive,0.0,no_additive,0.0,-7.22,62.33,134.14,153.51,,,22.76,143.825,153.51,62.33,62.33
77.0935960591133,22.9064039408867,156576.0,52063.0,3.0074333019610857,no_additive,0.0,no_additive,0.0,-5.27,76.79,137.02,155.51,,,28.31,146.265,155.51,76.79,76.79
84.42622950819673,15.573770491803279,372673.0,125268.0,2.9750055880192865,no_additive,0.0,no_additive,0.0,-4.55,80.69,135.74,145.87,,,19.13,140.805,145.87,80.69,80.69
77.58620689655172,22.413793103448278,278082.0,79241.0,3.5093196703726606,no_additive,0.0,no_additive,0.0,-2.93,73.95,135.89,151.43,,,26.2,143.66,151.43,73.95,73.95
100.0,0.0,800000.0,,,no_additive,0.0,no_additive,0.0,,,179.0,,,97.0,67.0,179.0,179.0,,
87.0,13.0,420000.0,,,no_additive,0.0,no_additive,0.0,,96.0,155.0,155.0,236.0,,48.0,155.0,155.0,96.0,96.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,97.0,157.0,157.0,,,46.0,157.0,157.0,97.0,97.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,,98.0,157.0,157.0,253.0,,46.0,157.0,157.0,98.0,98.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,92.0,157.0,157.0,257.0,,46.0,157.0,157.0,96.5,101.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,,94.0,157.0,157.0,262.0,,47.0,157.0,157.0,98.0,102.0
87.0,13.0,420000.0,,,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,,102.0,157.0,157.0,265.0,,47.0,157.0,157.0,102.0,102.0
98.0,2.0,340000.0,,,no_additive,0.0,no_additive,0.0,,118.0,165.0,,258.0,,68.0,165.0,165.0,118.0,118.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,119.0,165.0,,261.0,,71.0,165.0,165.0,119.0,119.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,119.0,161.0,,267.0,,69.0,161.0,161.0,119.0,119.0
98.0,2.0,340000.0,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,119.0,165.0,,259.0,,67.0,165.0,165.0,119.0,119.0
100.0,0.0,1020000.0,510000.0,2.0,no_additive,0.0,no_additive,0.0,4.0,,177.0,,,,60.0,177.0,177.0,,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,4.0,,179.0,,,,,179.0,179.0,,
97.0,3.0,,,,no_additive,0.0,no_additive,0.0,,,170.0,,,,,170.0,170.0,,
91.0,9.0,,,,no_additive,0.0,no_additive,0.0,,,162.0,,,,,162.0,162.0,,
86.0,14.0,,,,no_additive,0.0,no_additive,0.0,,,150.0,,,,,150.0,150.0,,
80.0,20.0,,,,no_additive,0.0,no_additive,0.0,,,145.0,,,,,145.0,145.0,,
25.0,75.0,,,,no_additive,0.0,no_additive,0.0,,,137.0,,,,,137.0,137.0,,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,9.0,,175.0,,,,,175.0,175.0,,
11.0,89.0,,,,no_additive,0.0,no_additive,0.0,2.0,,157.0,,,,,157.0,157.0,,
20.0,80.0,,,,no_additive,0.0,no_additive,0.0,-5.0,,114.0,,,,,114.0,114.0,,
28.0,72.0,,,,no_additive,0.0,no_additive,0.0,-8.0,,102.0,,,,,102.0,102.0,,
34.0,66.0,,,,no_additive,0.0,no_additive,0.0,-9.0,,97.0,,,,,97.0,97.0,,
97.0,3.0,400000.0,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
,,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
88.0,12.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
88.0,12.0,,,,reinforcment_and_stiffening_modifiers,0.3,no_additive,0.0,,,,,,,,,,,
88.0,12.0,,,,reinforcment_and_stiffening_modifiers,0.3,no_additive,0.0,,,,,,,,,,,
97.0,3.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,,,,,
97.0,3.0,,,,biofunctional_and_enviromental_additives,25.0,no_additive,0.0,,,,,,,,,,,
97.0,3.0,,,,biofunctional_and_enviromental_additives,50.0,no_additive,0.0,,,,,,,,,,,
88.0,12.0,,,,no_additive,10.0,no_additive,0.0,,104.0,154.6,162.8,,77.0,72.6,158.7,162.8,104.0,104.0
100.0,0.0,1170000.0,650000.0,1.8,no_additive,0.0,no_additive,0.0,4.0,,178.0,,,91.0,,178.0,178.0,,
98.0,2.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,55.9,,,,
100.0,0.0,440000.0,260000.0,1.6923076923076923,no_additive,0.0,no_additive,0.0,3.0,,172.0,,,92.0,63.0,172.0,172.0,,
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,7.0,,174.0,,,90.0,61.0,174.0,174.0,,
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,20.0,no_additive,0.0,9.0,,173.0,,,85.0,58.0,173.0,173.0,,
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,40.0,no_additive,0.0,15.0,,170.0,,,78.0,53.0,170.0,170.0,,
100.0,0.0,440000.0,260000.0,1.6923076923076923,reinforcment_and_stiffening_modifiers,50.0,no_additive,0.0,18.0,,167.0,,,34.0,23.0,167.0,167.0,,
17.0,83.0,2270000.0,800000.0,2.8375,no_additive,0.0,no_additive,0.0,-9.3,,91.6,,,59.8,,91.6,91.6,,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,107.4,172.4,167.8,274.6,64.8,41.6,170.10000000000002,172.4,107.4,107.4
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,108.6,174.1,170.9,276.5,57.4,35.4,172.5,174.1,108.6,108.6
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,109.5,176.2,171.7,272.6,66.1,40.1,173.95,176.2,109.5,109.5
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,108.3,174.5,170.6,273.4,64.8,41.7,172.55,174.5,108.3,108.3
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,108.1,175.4,171.9,278.2,65.4,38.5,173.65,175.4,108.1,108.1
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,,107.6,176.1,170.9,273.9,61.6,38.1,173.5,176.1,107.6,107.6
100.0,0.0,,,,reinforcment_and_stiffening_modifiers,2.0,no_additive,0.0,,109.5,174.5,171.3,275.8,65.8,39.5,172.9,174.5,109.5,109.5
96.6,3.4,,,,no_additive,0.0,no_additive,0.0,,85.0,171.0,176.0,,60.5,41.0,173.5,176.0,85.0,85.0
96.6,3.4,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,85.0,170.0,,,76.0,54.0,170.0,170.0,85.0,85.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,87.0,164.0,171.0,,77.0,59.0,167.5,171.0,87.0,87.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,84.0,160.0,171.0,,85.9,68.0,165.5,171.0,84.0,84.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,64.0,174.0,,,60.5,46.0,174.0,174.0,64.0,64.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,74.0,148.0,163.0,,76.7,60.0,155.5,163.0,74.0,74.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,81.0,172.0,,,90.6,69.0,172.0,172.0,81.0,81.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,84.0,172.0,,,84.2,66.0,172.0,172.0,84.0,84.0
98.0,2.0,,,,no_additive,0.0,no_additive,0.0,,91.0,166.0,174.0,,77.17,52.0,170.0,174.0,91.0,91.0
98.0,2.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,80.0,158.0,169.0,,77.01,52.0,163.5,169.0,80.0,80.0
98.0,2.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,92.0,164.0,173.0,,76.79,51.0,168.5,173.0,92.0,92.0
98.0,2.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,,73.0,156.0,169.0,,76.52,51.0,162.5,169.0,73.0,73.0
90.0,10.0,,,,no_additive,0.0,no_additive,0.0,,93.0,155.0,166.0,,85.63,79.0,160.5,166.0,93.0,93.0
90.0,10.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,-9.0,66.0,143.0,160.0,,72.51,66.0,151.5,160.0,66.0,66.0
90.0,10.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,80.0,150.0,163.0,,73.71,67.0,156.5,163.0,80.0,80.0
90.0,10.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,,67.0,143.0,160.0,,66.49,61.0,151.5,160.0,67.0,67.0
82.0,18.0,,,,no_additive,0.0,no_additive,0.0,-0.8,81.0,147.0,161.0,,53.35,49.0,154.0,161.0,81.0,81.0
82.0,18.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,-11.0,93.0,146.0,159.0,,49.5,45.0,152.5,159.0,93.0,93.0
82.0,18.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,-4.0,94.0,147.0,160.0,,54.49,50.0,153.5,160.0,94.0,94.0
82.0,18.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,-18.0,99.0,147.0,159.0,,44.5,41.0,153.0,159.0,99.0,99.0
94.0,6.0,680000.0,,,no_additive,0.0,no_additive,0.0,,28.5,161.0,,,65.9,,161.0,161.0,28.5,28.5
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,5.0,no_additive,0.0,,36.6,160.5,,,56.1,,160.5,160.5,36.6,36.6
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,39.6,158.2,,,58.1,,158.2,158.2,39.6,39.6
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,,41.7,161.6,,,64.5,,161.6,161.6,41.7,41.7
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,,48.7,158.9,,,67.0,,158.9,158.9,48.7,48.7
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,5.0,no_additive,0.0,,36.2,160.5,,,63.6,,160.5,160.5,36.2,36.2
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,34.8,160.3,,,68.0,,160.3,160.3,34.8,34.8
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,,39.0,159.5,,,61.6,,159.5,159.5,39.0,39.0
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,,41.6,159.6,,,56.3,,159.6,159.6,41.6,41.6
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,0.6,,174.0,,,88.6,60.7,174.0,174.0,,
88.0,12.0,,,,no_additive,0.0,no_additive,0.0,-3.8,,168.0,,,76.8,52.6,168.0,168.0,,
75.0,25.0,,,,no_additive,0.0,no_additive,0.0,-5.5,,155.0,,,67.3,46.1,155.0,155.0,,
83.0,17.0,2800000.0,1960000.0,1.43,no_additive,0.0,no_additive,0.0,-0.7,61.8,126.1,152.5,318.0,,,139.3,152.5,61.8,61.8
81.0,19.0,867000.0,798000.0,1.09,no_additive,0.0,no_additive,0.0,-3.5,107.1,150.9,166.5,329.0,,,158.7,166.5,107.1,107.1
79.0,21.0,696000.0,645000.0,1.08,no_additive,0.0,no_additive,0.0,-5.3,104.8,159.7,170.1,325.0,,,164.89999999999998,170.1,104.8,104.8
75.0,25.0,854000.0,752000.0,1.14,no_additive,0.0,no_additive,0.0,-7.4,80.0,153.8,165.3,325.0,,,159.55,165.3,80.0,80.0
77.0,23.0,845000.0,796000.0,1.06,no_additive,0.0,no_additive,0.0,-1.6,64.2,128.6,152.1,320.0,,,140.35,152.1,64.2,64.2
95.0,5.0,,,,no_additive,0.0,no_additive,0.0,5.0,121.9,173.1,,,99.9,69.9,173.1,173.1,121.9,121.9
98.66,1.34,715166.0,236211.0,3.0276574757314436,no_additive,0.0,no_additive,0.0,,79.82,169.8,160.89,232.0,,,165.345,169.8,79.82,79.82
98.66,1.34,715166.0,236211.0,3.0276574757314436,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,,77.76,169.35,158.64,227.0,,,163.995,169.35,77.76,77.76
98.66,1.34,715166.0,236211.0,3.0276574757314436,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,77.39,169.56,157.13,216.0,,,163.345,169.56,77.39,77.39
97.5,2.5,280000.0,,,no_additive,0.0,no_additive,0.0,,,,,276.6,,,,,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,2.5,no_additive,0.0,,,,,264.2,,,,,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,5.0,no_additive,0.0,,,,,265.0,,,,,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,10.0,no_additive,0.0,,,,,245.8,,,,,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,15.0,no_additive,0.0,,,,,160.8,,,,,,
100.0,0.0,825000.0,330000.0,2.5,no_additive,0.0,no_additive,0.0,6.1,,169.0,,,,,169.0,169.0,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,25.0,no_additive,0.0,-4.2,41.8,164.2,,,,,164.2,164.2,41.8,41.8
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,-3.6,43.5,163.5,,,,,163.5,163.5,43.5,43.5
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,35.0,no_additive,0.0,-2.8,44.5,164.6,,,,,164.6,164.6,44.5,44.5
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,40.0,no_additive,0.0,-2.8,44.3,164.9,,,,,164.9,164.9,44.3,44.3
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,50.0,no_additive,0.0,-2.4,41.4,165.4,,,,,165.4,165.4,41.4,41.4
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,-9.8,27.6,162.9,,,,,162.9,162.9,27.6,27.6
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,-28.5,20.0,159.6,,,,,159.6,159.6,20.0,20.0
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,25.0,no_additive,0.0,-29.7,17.6,158.3,,,,,158.3,158.3,17.6,17.6
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,-30.7,15.5,156.8,,,,,156.8,156.8,15.5,15.5
100.0,0.0,223000.0,181300.8130081301,1.23,no_additive,0.0,no_additive,0.0,3.8,46.6,,,,83.3,,,,46.6,46.6
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,4.6,46.7,,,,83.1,,,,46.7,46.7
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,3.8,41.6,,,,83.7,,,,41.6,41.6
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,4.7,41.2,,,,82.3,,,,41.2,41.2
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,5.4,,,,,84.2,,,,,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,5.9,,,,,80.5,,,,,
98.0,2.0,280000.0,,,no_additive,0.0,no_additive,0.0,-1.73,78.65,170.53,,277.5,95.81,65.35,170.53,170.53,78.65,78.65
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,2.5,no_additive,0.0,-1.62,82.26,167.8,,280.42,91.61,65.78,167.8,167.8,82.26,82.26
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,-1.73,76.4,168.81,,282.92,95.09,68.28,168.81,168.81,76.4,76.4
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,-1.71,75.59,169.06,,288.75,84.45,64.01,169.06,169.06,75.59,75.59
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,-1.72,73.07,168.16,,227.08,91.92,63.34,168.16,168.16,73.07,73.07
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,1.0,reinforcment_and_stiffening_modifiers,0.25,-1.73,77.07,166.31,,256.25,90.95,62.85,166.31,166.31,77.07,77.07
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,4.98,reinforcment_and_stiffening_modifiers,0.96,-1.77,76.9,167.4,,274.17,93.66,67.25,167.4,167.4,76.9,76.9
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,,172.05,,249.6,89.7,61.44,172.05,172.05,,
84.0,16.0,,,,no_additive,0.0,no_additive,0.0,,,150.18,,266.6,73.5,50.34,150.18,150.18,,
