scl_pha_ratio_mol,3hb_ratio_mol,3hv_ratio_mol,mcl_pha_ratio_mol,3hhx_ratio_mol,3hhp_ratio_mol,3ho_ratio_mol,3hn_ratio_mol,3hd_ratio_mol,3hud_ratio_mol,3hdd_ratio_mol,3htrid_ratio_mol,3httd_ratio_mol,unsaturated_monomer_ratio_mol,mw,mn,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,final_formulation_pha_percentage_wt,tg1,tm1,crystallinity_percentage,tm_mean,tm_max
0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.1,reinforcment_and_stiffening_modifiers,0.3,99.6,-42.0,28.0,10.0,46.0,64.0
0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.3,reinforcment_and_stiffening_modifiers,0.3,99.4,-46.0,25.0,14.0,42.0,59.0
0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.3,reinforcment_and_stiffening_modifiers,0.5,99.2,-45.0,28.0,1.2,44.5,61.0
0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,0.3,reinforcment_and_stiffening_modifiers,0.7,99.0,-44.0,24.0,5.0,24.0,24.0
0.0,0.0,0.0,100.0,7.5,0.0,87.9,0.0,3.3,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,-37.5,,,,
0.0,0.0,0.0,100.0,7.5,0.0,87.9,0.0,3.3,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,1.5,no_additive,0.0,98.5,-37.5,,,,
0.0,0.0,0.0,100.0,7.5,0.0,87.9,0.0,3.3,0.0,0.0,0.0,0.0,0.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,97.0,-37.5,,,,
95.1,95.1,0.0,4.9,0.0,3.6,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,no_additive,0.0,no_additive,0.0,100.0,,150.0,,150.0,150.0
0.0,0.0,0.0,100.0,5.28,0.0,92.94,0.0,1.78,0.0,0.0,0.0,0.0,0.0,546400.0,193000.0,2.8310880829015543,no_additive,0.0,no_additive,0.0,100.0,-37.09,47.98,,47.98,47.98
0.0,0.0,0.0,100.0,6.33,0.0,92.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,666300.0,252600.0,2.637767220902613,no_additive,0.0,no_additive,0.0,100.0,-37.71,48.01,,48.01,48.01
0.0,0.0,0.0,99.99999999999999,5.57,0.0,93.38,0.0,1.05,0.0,0.0,0.0,0.0,0.0,707800.0,273500.0,2.5879341864716636,no_additive,0.0,no_additive,0.0,100.0,-38.27,47.87,,47.87,47.87
0.0,0.0,0.0,100.0,5.73,0.0,93.36,0.0,0.91,0.0,0.0,0.0,0.0,0.0,658900.0,209900.0,3.1391138637446403,no_additive,0.0,no_additive,0.0,100.0,-38.38,47.66,,47.66,47.66
0.0,0.0,0.0,100.0,5.47,0.0,93.35,0.0,1.18,0.0,0.0,0.0,0.0,0.0,807900.0,297400.0,2.7165433759246804,no_additive,0.0,no_additive,0.0,100.0,-38.03,49.74,,49.74,49.74
0.0,0.0,0.0,99.99999999999999,3.44,0.0,47.23,0.0,48.01,0.0,1.32,0.0,0.0,0.0,392400.0,185800.0,2.1119483315392897,no_additive,0.0,no_additive,0.0,100.0,-44.39,53.86,,53.86,53.86
0.0,0.0,0.0,100.0,1.37,0.0,21.49,0.0,77.14,0.0,0.0,0.0,0.0,0.0,707300.0,239000.0,2.9594142259414227,no_additive,0.0,no_additive,0.0,100.0,-45.9,55.65,,55.65,55.65
0.0,0.0,0.0,100.0,0.0,0.0,9.99,0.0,90.01,0.0,0.0,0.0,0.0,0.0,672700.0,272500.0,2.468623853211009,no_additive,0.0,no_additive,0.0,100.0,-46.69,59.32,,59.32,59.32
0.0,0.0,0.0,100.0,0.0,0.0,7.56,0.0,92.44,0.0,0.0,0.0,0.0,0.0,724300.0,260800.0,2.777223926380368,no_additive,0.0,no_additive,0.0,100.0,-45.41,60.2,,60.2,60.2
0.0,0.0,0.0,100.0,0.0,0.0,5.29,0.0,94.71,0.0,0.0,0.0,0.0,0.0,801300.0,267400.0,2.9966342557965593,no_additive,0.0,no_additive,0.0,100.0,-46.26,61.5,,61.5,61.5
0.0,0.0,0.0,100.0,4.79,0.0,45.0,0.0,34.75,0.0,15.46,0.0,0.0,0.0,340600.0,177000.0,1.9242937853107345,no_additive,0.0,no_additive,0.0,100.0,-45.47,52.23,,52.23,52.23
0.0,0.0,0.0,100.0,1.45,0.0,19.7,0.0,39.19,0.0,39.66,0.0,0.0,0.0,404100.0,195400.0,2.0680655066530194,no_additive,0.0,no_additive,0.0,100.0,-45.85,55.74,,55.74,55.74
